,Late_Round_2_Scoring_Average_RANK THIS WEEK,Late_Round_2_Scoring_Average_RANK LAST WEEK,Late_Round_2_Scoring_Average_PLAYER NAME,Late_Round_2_Scoring_Average_AVG,Late_Round_2_Scoring_Average_TOTAL STROKES,Late_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Justin Rose,66.71,467,7
1,2,T6,Matt Kuchar,67.43,472,7
2,3,2,Paul Casey,67.5,135,2
3,4,3,Scott Piercy,67.58,811,12
4,5,4,Louis Oosthuizen,67.6,338,5
5,6,5,Rory McIlroy,67.71,474,7
6,7,T6,Brooks Koepka,68.17,409,6
7,8,8,Tommy Fleetwood,68.29,478,7
8,9,9,Ian Poulter,68.4,342,5
9,10,10,Cameron Champ,68.5,548,8
10,11,11,Bryson DeChambeau,68.57,480,7
11,12,12,Jordan Spieth,68.63,549,8
12,13,13,Patrick Cantlay,68.67,412,6
13,14,14,Rickie Fowler,68.71,481,7
14,15,18,Adam Hadwin,68.75,550,8
15,16,15,Wyndham Clark,68.8,688,10
16,17,17,Kevin Tway,69.13,553,8
17,T18,19,Francesco Molinari,69.25,277,4
18,T18,16,Alex Noren,69.25,554,8
19,20,20,Rory Sabbatini,69.3,693,10
20,T21,T21,Talor Gooch,69.33,416,6
21,T21,T21,Martin Kaymer,69.33,208,3
22,T21,T21,Adam Scott,69.33,416,6
23,T21,T21,Matt Wallace,69.33,208,3
24,25,T26,Abraham Ancer,69.38,555,8
25,26,T73,Dustin Johnson,69.4,347,5
26,27,28,Gary Woodland,69.44,625,9
27,28,33,Aaron Wise,69.56,626,9
28,29,51,Brian Gay,69.57,487,7
29,T30,T30,Hideki Matsuyama,69.6,348,5
30,T30,T30,Ryan Palmer,69.6,348,5
31,T32,39,Jonas Blixt,69.67,836,12
32,T32,T26,Sebastián Muñoz,69.67,627,9
33,T32,32,Carlos Ortiz,69.67,627,9
34,T35,71,Scott Brown,69.7,697,10
35,T35,29,Trey Mullinax,69.7,697,10
36,37,T21,Anders Albertson,69.71,488,7
37,38,34,Peter Malnati,69.78,628,9
38,39,35,Sam Ryder,69.8,698,10
39,40,T36,Michael Thompson,69.83,419,6
40,41,79,Nick Taylor,69.88,559,8
41,42,38,Ryan Armour,69.89,629,9
42,T43,T36,Roberto Díaz,70.0,490,7
43,T43,T40,Joel Dahmen,70.0,560,8
44,T43,T40,Tyler Duncan,70.0,490,7
45,T43,T40,James Hahn,70.0,350,5
46,T43,T40,Justin Harding,70.0,350,5
47,T43,T40,Kyoung-Hoon Lee,70.0,560,8
48,T43,T40,Cameron Smith,70.0,560,8
49,T43,T40,Vaughn Taylor,70.0,700,10
50,T43,T40,D.J. Trahan,70.0,210,3
51,52,60,Sungjae Im,70.09,771,11
52,53,T81,Brian Harman,70.1,701,10
53,54,49,Jon Rahm,70.13,561,8
54,55,50,Cameron Davis,70.14,491,7
55,T56,T52,Jason Day,70.2,351,5
56,T56,T52,Xander Schauffele,70.2,351,5
57,T58,T54,Billy Horschel,70.22,632,9
58,T58,T54,Russell Knox,70.22,632,9
59,T58,T54,Jason Kokrak,70.22,632,9
60,T61,57,Russell Henley,70.25,562,8
61,T61,T86,J.B. Holmes,70.25,562,8
62,63,58,Max Homa,70.27,773,11
63,64,59,Beau Hossler,70.29,984,14
64,T65,T66,Bud Cauley,70.33,422,6
65,T65,T61,Henrik Stenson,70.33,422,6
66,T65,T61,Peter Uihlein,70.33,633,9
67,T68,T64,Pat Perez,70.38,563,8
68,T68,T64,J.T. Poston,70.38,563,8
69,70,T66,Andrew Putnam,70.4,352,5
70,T71,T61,Daniel Berger,70.43,493,7
71,T71,T69,Kevin Kisner,70.43,493,7
72,73,T73,Denny McCarthy,70.44,634,9
73,74,72,Kelly Kraft,70.46,916,13
74,T75,T73,Sam Burns,70.5,705,10
75,T75,T73,Matthew Fitzpatrick,70.5,141,2
76,T75,T73,Danny Lee,70.5,705,10
77,T75,T91,Josh Teater,70.5,705,10
78,79,T73,Sam Saunders,70.56,635,9
79,80,T125,Wes Roach,70.6,353,5
80,T81,T120,Jim Furyk,70.63,565,8
81,T81,T69,Brady Schnell,70.63,565,8
82,T81,80,Harold Varner III,70.63,565,8
83,T84,T81,Aaron Baddeley,70.67,636,9
84,T84,T81,Brice Garnett,70.67,636,9
85,T84,T94,Fabián Gómez,70.67,424,6
86,T84,T40,Bill Haas,70.67,424,6
87,T84,T103,Adam Schenk,70.67,848,12
88,T84,T166,Webb Simpson,70.67,424,6
89,T84,T81,Scott Stallings,70.67,424,6
90,T91,T86,Ernie Els,70.71,495,7
91,T91,T86,Lucas Glover,70.71,495,7
92,T91,T86,Chris Kirk,70.71,495,7
93,94,90,Brandt Snedeker,70.75,566,8
94,T95,T117,Dylan Frittelli,70.78,637,9
95,T95,T91,Andrew Landry,70.78,637,9
96,T95,T91,Ben Silverman,70.78,637,9
97,T98,T94,Tony Finau,70.8,354,5
98,T98,T94,Hank Lebioda,70.8,354,5
99,T100,T133,José de Jesús Rodríguez,70.82,779,11
100,T100,97,Brian Stuard,70.82,779,11
101,T100,T105,Nick Watney,70.82,779,11
102,T103,T105,Sergio Garcia,70.83,425,6
103,T103,98,Jimmy Walker,70.83,425,6
104,T105,T99,Matt Jones,70.88,567,8
105,T105,T99,Justin Thomas,70.88,567,8
106,107,101,Si Woo Kim,70.89,638,9
107,108,102,Jason Dufner,70.9,709,10
108,109,T103,Harris English,70.91,780,11
109,T110,T130,Dominic Bozzelli,71.0,568,8
110,T110,T105,Jonathan Byrd,71.0,284,4
111,T110,T105,Roberto Castro,71.0,426,6
112,T110,T125,Corey Conners,71.0,639,9
113,T110,T105,Joey Garber,71.0,568,8
114,T110,T105,Brandon Harkins,71.0,568,8
115,T110,T81,J.J. Henry,71.0,497,7
116,T110,T105,Kyle Jones,71.0,497,7
117,T110,T105,Sung Kang,71.0,497,7
118,T110,T105,Marc Leishman,71.0,355,5
119,T110,T105,Charl Schwartzel,71.0,497,7
120,T110,T105,J.J. Spaun,71.0,710,10
121,T110,T105,Tiger Woods,71.0,284,4
122,123,T117,Ollie Schniederjans,71.11,640,9
123,T124,T137,Martin Laird,71.13,569,8
124,T124,T117,Kevin Streelman,71.13,569,8
125,T126,T66,David Hearn,71.17,427,6
126,T126,122,Nate Lashley,71.17,427,6
127,T128,143,Jim Herman,71.2,712,10
128,T128,123,Chris Thompson,71.2,356,5
129,T128,999,Tyrone Van Aswegen,71.2,356,5
130,131,124,Joaquin Niemann,71.22,641,9
131,T132,T125,Rafa Cabrera Bello,71.25,285,4
132,T132,T125,Keith Mitchell,71.25,570,8
133,T132,T125,Brendan Steele,71.25,570,8
134,T132,156,Cameron Tringale,71.25,570,8
135,T136,T130,C.T. Pan,71.29,499,7
136,T136,T130,Patrick Reed,71.29,499,7
137,138,T133,Kyle Stanley,71.3,713,10
138,139,T133,Shawn Stefani,71.36,785,11
139,140,136,Kevin Na,71.4,357,5
140,141,T137,Charles Howell III,71.43,500,7
141,T142,T139,Kramer Hickok,71.5,572,8
142,T142,T139,Whee Kim,71.5,572,8
143,T142,T139,Patton Kizzire,71.5,715,10
144,T142,T120,Chris Stroud,71.5,572,8
145,146,T166,Curtis Luck,71.56,644,9
146,T147,T144,Zach Johnson,71.57,501,7
147,T147,T144,Hunter Mahan,71.57,501,7
148,T147,T144,John Senden,71.57,501,7
149,T147,T144,Adam Svensson,71.57,501,7
150,151,148,Richy Werenski,71.58,859,12
151,T152,T149,Charley Hoffman,71.6,716,10
152,T152,T149,"Ted Potter, Jr.",71.6,716,10
153,T154,T151,Phil Mickelson,71.67,215,3
154,T154,T151,Chez Reavie,71.67,645,9
155,T154,T139,Hudson Swafford,71.67,645,9
156,T157,T153,Tom Hoge,71.7,717,10
157,T157,T153,Mackenzie Hughes,71.7,717,10
158,T157,T153,Jim Knous,71.7,717,10
159,160,157,Cody Gribble,71.73,789,11
160,161,T158,Ryan Blaum,71.75,574,8
161,T162,T161,Kiradech Aphibarnrat,71.83,431,6
162,T162,T161,Freddie Jacobson,71.83,431,6
163,164,163,Anirban Lahiri,71.89,647,9
164,T165,T164,Julián Etulain,71.9,719,10
165,T165,T164,Jhonattan Vegas,71.9,719,10
166,167,171,Roger Sloan,71.91,791,11
167,T168,T174,Keegan Bradley,72.0,504,7
168,T168,176,Matt Every,72.0,360,5
169,T168,T166,Satoshi Kodaira,72.0,432,6
170,T168,T166,Graeme McDowell,72.0,432,6
171,T168,T166,Patrick Rodgers,72.0,432,6
172,173,172,Ryan Moore,72.13,577,8
173,174,173,Emiliano Grillo,72.14,505,7
174,175,T174,Alex Cejka,72.17,433,6
175,176,T158,Johnson Wagner,72.2,361,5
176,177,177,Sangmoon Bae,72.27,795,11
177,T178,206,Ben Crane,72.29,506,7
178,T178,T178,Stephan Jaeger,72.29,506,7
179,T178,T178,Chase Wright,72.29,506,7
180,181,999,Shane Lowry,72.33,434,6
181,T182,T180,John Huh,72.4,362,5
182,T182,T180,Troy Merritt,72.4,362,5
183,184,182,Chesson Hadley,72.43,507,7
184,185,T188,Martin Trainer,72.45,797,11
185,T186,T183,Stewart Cink,72.5,435,6
186,T186,T183,Haotong Li,72.5,290,4
187,T186,999,Martin Piller,72.5,290,4
188,T186,T183,Robert Streb,72.5,580,8
189,190,T186,Scott Langley,72.56,653,9
190,191,204,Danny Willett,72.57,508,7
191,192,T188,D.A. Points,72.6,363,5
192,193,190,John Chin,72.67,436,6
193,194,T186,Seth Reeves,72.7,727,10
194,195,191,Byeong Hun An,72.75,582,8
195,T196,T192,Austin Cook,72.86,510,7
196,T196,T192,Grayson Murray,72.86,510,7
197,198,202,Seamus Power,72.91,802,11
198,T199,T194,Lucas Bjerregaard,73.0,365,5
199,T199,T194,Branden Grace,73.0,438,6
200,T199,T194,Rod Pampling,73.0,584,8
201,T199,T194,Alex Prugh,73.0,511,7
202,T199,T194,Bubba Watson,73.0,365,5
203,204,199,Sepp Straka,73.11,658,9
204,T205,T200,Tyrrell Hatton,73.13,585,8
205,T205,T200,Luke List,73.13,585,8
206,207,203,Adam Long,73.22,659,9
207,208,205,Michael Kim,73.42,881,12
208,209,207,Bronson Burgoon,73.67,442,6
